current ,temperature,vibration
1.8967,33.81,2.8574
2.0306,33.81,2.7885
2.027,33.88,3.3701
2.0323,33.88,2.5987
2.0072,33.88,3.0295
2.0201,33.88,3.1507
2.0006,33.88,2.9948
2.005,33.88,3.1507
2.0013,33.88,2.4729
1.99,33.81,2.9585
1.9807,33.75,2.8502
1.943,33.75,2.826
1.9175,33.75,2.9591
1.8985,33.75,2.8244
1.9047,33.75,2.9577
1.8985,33.75,3.3498
1.8873,33.75,3.043
9.397,0,0
1.9641,85,3.1175
2.0385,33.94,2.9107
2.0149,33.94,3.377
2.0088,33.94,3.3837
2.0109,33.94,3.1785
2.017,33.94,2.9211
2.0283,33.81,3.1819
2.0291,33.81,3.2244
2.0231,33.81,2.8257
2.0253,33.81,2.8079
2.0279,33.69,2.4669
2.0083,33.63,2.9335
1.9968,33.63,3.6586
1.9691,33.63,2.5596
1.9595,33.69,2.6273
1.9871,33.75,2.9238
1.9802,33.75,2.9009
1.9686,33.69,2.9263
1.9498,33.75,3.1127
1.9584,33.81,2.6271
2.0178,33.81,3.4366
2.0186,33.81,2.7999
2.01,33.75,2.8693
2.0009,33.75,2.6966
1.9817,33.75,2.9525
1.9697,33.75,2.7488
1.9492,33.75,2.9162
1.9035,33.75,2.9874
1.9037,33.81,2.743
1.9047,33.81,3.3862
1.9049,33.81,3.0351
1.9069,33.75,2.7912
1.9075,33.69,2.8143
1.8971,33.69,3.0888
1.8893,33.75,3.0139
1.8732,33.69,2.6231
1.8698,33.69,2.8419
1.8667,33.69,3.2459
1.8658,33.69,2.779
1.8572,33.69,3.3907
1.8632,33.69,3.081
1.8637,33.69,3.1334
1.8486,33.69,3.2488
1.8346,33.69,3.2719
1.8619,33.63,2.9582
1.8474,33.56,3.2092
1.8488,33.56,3.0217
1.8577,33.44,3.0578
1.8661,33.44,2.9471
1.8649,33.44,3.0804
1.8546,33.44,3.56
1.8465,33.5,3.0061
1.8357,33.44,2.8879
1.8651,33.44,3.1448
1.8603,33.5,2.8055
1.8682,33.5,2.6445
1.9218,33.5,3.3163
1.8649,33.5,2.84
1.8906,33.5,2.7721
1.8723,33.5,2.7866
1.8646,33.5,2.9592
1.8651,33.44,2.8511
1.8621,33.44,3.3301
1.8572,33.44,3.0727
1.8735,33.44,2.8482
1.8211,33.44,3.3945
1.8376,33.5,3.1492
1.8104,33.5,2.9457
1.8222,33.5,2.7504
1.8239,33.5,3.4601
1.8222,33.56,2.763
1.8287,33.63,2.8241
1.8216,33.63,2.6872
1.8242,33.69,3.0931
1.8251,33.69,2.6727
1.8319,33.69,3.0487
1.8186,33.75,2.8504
1.8206,33.75,3.2813
1.8275,33.75,2.8369
1.8205,33.81,2.8281
1.8318,33.75,2.8401
1.8331,33.75,3.36
1.8328,33.75,3.3514
1.8314,33.75,3.1754
1.8229,33.75,3.1046
1.835,33.88,2.8007
1.8393,33.81,3.0935
1.8285,33.88,3.1779
1.84,33.81,2.452
1.8308,33.75,2.9967
1.8308,33.75,3.0129
1.825,33.69,3.0695
1.8196,33.69,3.2395
1.823,33.69,3.3339
1.8185,33.63,2.9293
1.8167,33.63,2.6914
1.817,33.56,3.0992
1.8179,33.56,3.1116
1.8149,33.63,2.8273
1.8118,33.63,3.0224
1.8187,33.63,2.8998
1.8136,33.69,3.28
1.8256,33.75,2.9365
1.8265,33.75,2.9341
1.8176,33.75,3.5804
1.822,33.81,3.4008
1.8173,33.81,2.722
1.8129,33.81,3.0898
1.8225,33.75,2.9981
1.8172,33.75,2.8574
1.8139,33.75,3.0713
1.8079,33.75,3.0114
1.8003,33.75,2.807
1.798,33.75,2.9191
1.8089,33.75,3.1039
1.6279,25.25,3.239
1.7635,24.94,2.8596
1.7693,24.94,3.038
1.759,24.94,3.1079
1.7421,24.94,2.9692
1.74,25,2.7472
1.7684,25.06,3.0543
1.763,25.19,3.1494
1.7687,25.25,3.267
1.7736,25.44,2.9221
1.7756,25.56,3.3971
1.8188,25.75,3.037
1.7996,26,3.2542
1.8142,26.12,2.779
1.8245,26.44,2.9838
1.8123,26.62,2.8104
1.7982,26.81,2.8635
1.8401,26.94,2.5641
1.7957,27.19,2.9256
1.8055,27.31,2.8673
1.7909,27.5,3.2437
1.7795,27.69,3.3842
1.7886,27.87,2.8843
1.8012,28.06,3.0501
1.8154,28.25,3.2129
1.8845,28.44,3.2296
1.8094,28.62,2.7682
1.8339,28.69,3.19
1.8205,28.87,2.6233
1.7907,29,3.2095
1.79,29.12,3.3168
1.7708,29.25,3.1073
1.7796,29.31,2.9077
1.7801,29.44,3.0364
1.8177,29.56,3.1666
1.7962,29.75,3.0368
1.7953,29.81,3.0118
1.8029,29.94,2.6643
1.7536,30.06,2.7826
1.7749,30.12,3.0331
1.7791,30.19,2.7136
1.7472,30.25,3.2383
1.8781,30.31,2.9071
1.8422,30.69,3.0911
1.9038,30.5,3.3708
1.791,32.56,3.0292
1.7894,30.62,2.5138
1.8594,30.69,2.7778
1.9865,30.75,2.9155
2.0622,31.81,2.6657
1.9855,32.19,2.7224
1.9548,32,2.7571
1.8406,32,2.9706
1.8289,31.06,2.8916
1.832,31.19,3.1774
1.8367,31.31,3.2759
1.8623,31.31,2.6723
1.8247,31.37,3.1445
1.8304,31.44,2.8131
1.812,31.44,3.229
1.8236,31.44,3.068
1.8658,31.5,2.7703
1.8184,31.62,2.7375
1.8369,31.56,3.3127
1.8324,31.69,2.8514
1.8148,31.69,3.0825
1.8066,31.75,2.662
1.824,31.75,3.0083
1.8218,31.81,3.0132
1.8088,31.81,3.1199
1.8109,31.87,3.4369
1.8623,31.87,2.4825
1.8445,31.94,3.2316
1.8192,31.94,2.843
1.8174,31.94,3.1613
1.807,31.94,3.2311
1.8422,31.94,2.6345
1.8257,32,2.6909
1.8343,32.06,2.8491
1.8744,32.06,3.1355
1.8254,32.13,3.2877
1.8457,32.06,2.9613
1.8058,32.19,3.1711
1.8078,32.06,3.1434
1.8199,32.13,2.5194
1.8553,32.13,3.3152
1.823,32.19,2.9375
1.8022,32.19,2.7007
1.8126,32.19,2.7318
1.8081,32.19,3.0819
1.8147,32.25,3.0922
1.8246,32.25,3.1495
1.857,32.31,2.9262
1.8645,32.38,2.914
1.8382,32.31,2.903
1.8376,32.38,2.6084
1.821,32.38,3.1183
1.829,32.38,3.114
1.8207,32.38,2.807
1.8779,32.44,3.1147
1.8811,32.44,3.1477
1.8824,32.5,2.8112
1.8515,32.5,3.0519
1.8405,32.5,2.9333
1.6288,32.56,3.0887
1.4612,32.75,2.8898
1.5027,32.75,2.9786
1.512,32.75,2.9221
1.5194,32.81,3.014
1.5196,32.88,3.0692
1.5308,32.94,3.2069
1.5336,32.94,2.5946
1.5389,33,2.9749
1.5363,33,3.2015
1.5463,33,3.0642
1.546,33.06,3.1935
1.5398,33.06,3.2254
1.5512,33.06,3.1512
1.5553,33.06,3.1793
1.5488,33.13,3.1988
1.5513,33.13,2.7176
1.5523,33.13,2.7621
1.5444,33.19,2.8445
1.5386,33.19,2.4379
1.5559,33.19,3.0558
1.5366,33.19,3.269
1.5409,33.25,3.0223
1.5482,33.25,3.0002
1.5489,33.19,2.7951
1.5495,33.19,2.7414
1.5503,33.19,3.0943
1.5612,33.19,3.0351
1.5634,33.19,3.1592
1.5654,33.19,3.1228
1.56,33.25,2.7946
1.5603,33.25,3.0608
1.5492,33.38,2.7801
1.5595,33.25,2.6989
1.5534,33.25,3.1882
1.5394,33.31,3.2865
1.5448,33.38,2.8397
1.5285,33.31,3.3946
1.5413,33.31,3.3102
1.5278,33.38,3.0885
1.5308,33.38,3.0755
1.5235,33.38,2.639
1.5233,33.38,3.0663
